Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2021/01/22 00:00:00;2021/01/22 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;60.3;60.3;µg-m3;96.0;100;96.0;A;1;48.799168;2.130556
2021/01/23 00:00:00;2021/01/23 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;17.0;16.95;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/01/24 00:00:00;2021/01/24 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;21.0;21.0;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/01/25 00:00:00;2021/01/25 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;69.2;69.175;µg-m3;100.0;100;100.0;R;1;48.799168;2.130556
2021/01/26 00:00:00;2021/01/26 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;72.3;72.275;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/01/27 00:00:00;2021/01/27 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;38.6;38.575;µg-m3;100.0;100;100.0;R;1;48.799168;2.130556
2021/01/28 00:00:00;2021/01/28 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;23.1;23.05;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/01/29 00:00:00;2021/01/29 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;17.7;17.725;µg-m3;100.0;100;100.0;R;1;48.799168;2.130556
2021/01/30 00:00:00;2021/01/30 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;13.3;13.325;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/01/31 00:00:00;2021/01/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;25.4;25.35;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/02/01 00:00:00;2021/02/01 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;27.0;26.95;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/02/02 00:00:00;2021/02/02 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;18.4;18.425;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/02/03 00:00:00;2021/02/03 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;21.8;21.8;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/02/04 00:00:00;2021/02/04 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;41.6;41.625;µg-m3;96.0;100;96.0;A;1;48.799168;2.130556
2021/02/05 00:00:00;2021/02/05 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;53.5;53.45;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/02/06 00:00:00;2021/02/06 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;40.1;40.075;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/02/07 00:00:00;2021/02/07 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;17.6;17.6;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/02/08 00:00:00;2021/02/08 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;35.2;35.2;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/02/09 00:00:00;2021/02/09 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;51.9;51.875;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/02/10 00:00:00;2021/02/10 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;33.1;33.05;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/02/11 00:00:00;2021/02/11 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;52.1;52.05;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/02/12 00:00:00;2021/02/12 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;38.3;38.3;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/02/13 00:00:00;2021/02/13 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;34.0;33.95;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
